title,source,creator,subject,date
வினோத விடிகதை,https://ta.wikisource.org/wiki/வினோத விடிகதை,சிறுமணவூர் முனிசாமி முதலியார்,,1911
வெளிநாட்டு விடுகதைகள்,https://ta.wikisource.org/wiki/வெளிநாட்டு விடுகதைகள்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,1967
இன்பம்,https://ta.wikisource.org/wiki/இன்பம்,முல்லை முத்தையா,,1998
சிந்தனை துளிகள்,https://ta.wikisource.org/wiki/சிந்தனை துளிகள்,குன்றக்குடி அடிகளார்,,1993
கடல்வீரன் கொலம்பஸ்,https://ta.wikisource.org/wiki/கடல்வீரன் கொலம்பஸ்,பாவலர் நாரா. நாச்சியப்பன்,,1996
சொன்னால் நம்பமாட்டீர்கள்,https://ta.wikisource.org/wiki/சொன்னால் நம்பமாட்டீர்கள்,சின்ன அண்ணாமலை,,2004
கள்வர் குகை,https://ta.wikisource.org/wiki/கள்வர் குகை,பாவலர் நாரா. நாச்சியப்பன்,,
குருகுலப் போராட்டம்,https://ta.wikisource.org/wiki/குருகுலப் போராட்டம்,பாவலர் நாரா. நாச்சியப்பன்,,1994
சடுகுடு ஆட்டம்,https://ta.wikisource.org/wiki/சடுகுடு ஆட்டம்,டாக்டர். எஸ். நவராஜ் செல்லையா,,2009
உடற்கல்வி என்றால் என்ன,https://ta.wikisource.org/wiki/உடற்கல்வி என்றால் என்ன,டாக்டர். எஸ். நவராஜ் செல்லையா,,2007
தமிழ்ச் சொல்லாக்கம்,https://ta.wikisource.org/wiki/தமிழ்ச் சொல்லாக்கம்,உவமைக்கவிஞர் சுரதா,,2003
காலனைக் கட்டி யடக்கிய கடோரசித்தன் கதை,https://ta.wikisource.org/wiki/காலனைக் கட்டி யடக்கிய கடோரசித்தன் கதை,தணிகைமணி வ. சு. செங்கல்வராயபிள்ளை,,1928
சோழர் கால அரசியல் தலைவர்கள்,https://ta.wikisource.org/wiki/சோழர் கால அரசியல் தலைவர்கள்,பேரா. கா. ம. வேங்கடராமையா,,
ஹெர்க்குலிஸ்,https://ta.wikisource.org/wiki/ஹெர்க்குலிஸ்,தியாகி ப. ராமசாமி,,
ஆரிய மாயை,https://ta.wikisource.org/wiki/ஆரிய மாயை,அண்ணாதுரை,,
தமிழ்ப் பழமொழிகள் 1,https://ta.wikisource.org/wiki/தமிழ்ப் பழமொழிகள் 1,கி. வா. ஜகந்நாதன்,,
தமிழ்ப் பழமொழிகள் 3,https://ta.wikisource.org/wiki/தமிழ்ப் பழமொழிகள் 3,கி. வா. ஜகந்நாதன்,இலக்கியம்,2006
அதிகமான் நெடுமான் அஞ்சி,https://ta.wikisource.org/wiki/அதிகமான் நெடுமான் அஞ்சி,கி. வா. ஜகந்நாதன்,கதைகள்,1964
சங்ககிரிக் கோட்டையின் மர்மம்,https://ta.wikisource.org/wiki/சங்ககிரிக் கோட்டையின் மர்மம்,கவிஞர் பெரியசாமித்தூரன்,சிறுவர் கதைகள்,1978
ஐந்து செல்வங்கள்,https://ta.wikisource.org/wiki/ஐந்து செல்வங்கள்,கி. ஆ. பெ. விசுவநாதம்,,1997
அண்ணா சில நினைவுகள்,https://ta.wikisource.org/wiki/அண்ணா சில நினைவுகள்,கவிஞர் கருணானந்தம்,,1986
இலக்கியத் தூதர்கள்,https://ta.wikisource.org/wiki/இலக்கியத் தூதர்கள்,அ. க. நவநீதகிருட்டிணன்,,1966
அயல்நாட்டு அறிஞர்கள் உதிர்த்த முத்துக்கள்,https://ta.wikisource.org/wiki/அயல்நாட்டு அறிஞர்கள் உதிர்த்த முத்துக்கள்,முல்லை முத்தையா,,2002
ஆப்பரேஷனுக்கு அஞ்சவேண்டாம்,https://ta.wikisource.org/wiki/ஆப்பரேஷனுக்கு அஞ்சவேண்டாம்,பொ. திருகூடசுந்தரம்,,1966
உத்தரகாண்டம்,https://ta.wikisource.org/wiki/உத்தரகாண்டம்,ராஜம் கிருஷ்ணன்,சமூக நூல்கள்,2002
சான்றோர் தமிழ்,https://ta.wikisource.org/wiki/சான்றோர் தமிழ், முனைவர் சி. பாலசுப்பிரமணியன்,,1993
பாரதி பிறந்தார்,https://ta.wikisource.org/wiki/பாரதி பிறந்தார்,கவிஞர் முருகு சுந்தரம்,,1993
தாவிப் பாயும் தங்கக் குதிரை,https://ta.wikisource.org/wiki/தாவிப் பாயும் தங்கக் குதிரை,பாவலர் நாரா. நாச்சியப்பன்,,1985
ஆறுமுகமான பொருள்,https://ta.wikisource.org/wiki/ஆறுமுகமான பொருள்,தொ. மு. பாஸ்கரத் தொண்டைமான்,,1999
சமுதாய மறுமலர்ச்சி இலக்கியங்கள்,https://ta.wikisource.org/wiki/சமுதாய மறுமலர்ச்சி இலக்கியங்கள்,குன்றக்குடி அடிகளார்,,1993
அப்பம் தின்ற முயல்,https://ta.wikisource.org/wiki/அப்பம் தின்ற முயல்,பாவலர் நாரா. நாச்சியப்பன்,,1989
சொன்னார்கள்,https://ta.wikisource.org/wiki/சொன்னார்கள்,உவமைக்கவிஞர் சுரதா,,1977
அடி மனம்,https://ta.wikisource.org/wiki/அடி மனம்,கவிஞர் பெரியசாமித்தூரன்,,1957
நல்ல நண்பர்கள்,https://ta.wikisource.org/wiki/நல்ல நண்பர்கள்,குழந்தைக் கவிஞர் அழ. வள்ளியப்பா,,1985
கல்கி முதல் அகிலன் வரை நாவலாசிரியர்கள்,https://ta.wikisource.org/wiki/கல்கி முதல் அகிலன் வரை நாவலாசிரியர்கள்,பூவை. எஸ். ஆறுமுகம்,,1964
உரைவேந்தர் ஒளவை சு. துரைசாமிபிள்ளை,https://ta.wikisource.org/wiki/உரைவேந்தர் ஒளவை சு. துரைசாமிபிள்ளை,ச. சாம்பசிவனார்,,2007
பொழுதுபோக்கு விளையாட்டுக்கள்,https://ta.wikisource.org/wiki/பொழுதுபோக்கு விளையாட்டுக்கள்,டாக்டர். எஸ். நவராஜ் செல்லையா,,1982
அன்னிபெசண்ட் அம்மையாரின் நம்மை மேம்படுத்தும் எண்ணங்கள்,https://ta.wikisource.org/wiki/அன்னிபெசண்ட் அம்மையாரின் நம்மை மேம்படுத்தும் எண்ணங்கள்,என். வி. கலைமணி,,2000
அறிவுக் கனிகள்,https://ta.wikisource.org/wiki/அறிவுக் கனிகள்,பொ. திருகூடசுந்தரம்,,1959
அந்த நாய்க்குட்டி எங்கே,https://ta.wikisource.org/wiki/அந்த நாய்க்குட்டி எங்கே,பூவை. எஸ். ஆறுமுகம்,சிறுகதைகள்,1979
உலக வரலாற்றில் விடுதலை வீரர்கள்,https://ta.wikisource.org/wiki/உலக வரலாற்றில் விடுதலை வீரர்கள்,என். வி. கலைமணி,,2002
அண்டார்க்டிக் பெருங்கடல்,https://ta.wikisource.org/wiki/அண்டார்க்டிக் பெருங்கடல்,பேரா. அ. கி. மூர்த்தி,,1979
